language,n,m,load,input_file,op,tempo_medio_ms,desvio_padrao_ms,nos_visitados
cpp,1000,1000,query,/workspace/data/input_n1000_m1000_s42_random_query.txt,build,0.011818466666666666,0.0013355420630960493,1999
cpp,1000,1000,query,/workspace/data/input_n1000_m1000_s42_sorted_query.txt,batch_ops,0.5732169333333333,0.024122362103319778,98004
cpp,1000,1000,query,/workspace/data/input_n1000_m1000_s42_sorted_query.txt,build,0.012744733333333334,0.002200739733524309,1999
cpp,1000,1000,update,/workspace/data/input_n1000_m1000_s42_all_equal_update.txt,batch_ops,0.2118658,0.009190245835142007,21846
cpp,1000,1000,update,/workspace/data/input_n1000_m1000_s42_all_equal_update.txt,build,0.0109832,0.00039834730990725374,1999
cpp,1000,1000,update,/workspace/data/input_n1000_m1000_s42_duplicates_update.txt,batch_ops,0.2457189,0.016363839588956593,21846
cpp,1000,1000,update,/workspace/data/input_n1000_m1000_s42_duplicates_update.txt,build,0.012645833333333334,0.0008009733338939539,1999
cpp,1000,1000,update,/workspace/data/input_n1000_m1000_s42_nearly_sorted_update.txt,batch_ops,0.2340017,0.010744874749835612,21846
cpp,1000,1000,update,/workspace/data/input_n1000_m1000_s42_nearly_sorted_update.txt,build,0.013060133333333333,0.004824172937751437,1999
cpp,1000,1000,update,/workspace/data/input_n1000_m1000_s42_random_update.txt,batch_ops,0.228615,0.02223254431745467,21846
cpp,1000,1000,update,/workspace/data/input_n1000_m1000_s42_random_update.txt,build,0.011526766666666665,0.0006593538468851903,1999
cpp,1000,1000,update,/workspace/data/input_n1000_m1000_s42_sorted_update.txt,batch_ops,0.2230792,0.015217465397727526,21846
cpp,1000,1000,update,/workspace/data/input_n1000_m1000_s42_sorted_update.txt,build,0.011716066666666667,0.0012522236479031276,1999
cpp,1000,5000,mixed,/workspace/data/input_n1000_m5000_s42_all_equal_mixed_5050.txt,batch_ops,2.203579066666667,0.08174234182032748,297470
cpp,1000,5000,mixed,/workspace/data/input_n1000_m5000_s42_all_equal_mixed_5050.txt,build,0.014888633333333335,0.002950046632984233,1999
cpp,1000,5000,mixed,/workspace/data/input_n1000_m5000_s42_duplicates_mixed_5050.txt,batch_ops,2.0227368333333335,0.04497851138893286,297470
cpp,1000,5000,mixed,/workspace/data/input_n1000_m5000_s42_duplicates_mixed_5050.txt,build,0.0120755,0.0015290634670303575,1999
cpp,1000,5000,mixed,/workspace/data/input_n1000_m5000_s42_nearly_sorted_mixed_5050.txt,batch_ops,2.0474723666666668,0.061253693414037635,297470
cpp,1000,5000,mixed,/workspace/data/input_n1000_m5000_s42_nearly_sorted_mixed_5050.txt,build,0.0131745,0.002000726122496874,1999
cpp,1000,5000,mixed,/workspace/data/input_n1000_m5000_s42_random_mixed_5050.txt,batch_ops,1.9946178666666665,0.06057424003635208,297470
cpp,1000,5000,mixed,/workspace/data/input_n1000_m5000_s42_random_mixed_5050.txt,build,0.011915100000000001,0.001751561615560083,1999
cpp,1000,5000,mixed,/workspace/data/input_n1000_m5000_s42_sorted_mixed_5050.txt,batch_ops,2.0498275333333336,0.061072740550317785,297470
cpp,1000,5000,mixed,/workspace/data/input_n1000_m5000_s42_sorted_mixed_5050.txt,build,0.0123834,0.0014632945492726451,1999
cpp,1000,5000,query,/workspace/data/input_n1000_m5000_s42_all_equal_query.txt,batch_ops,2.7570215,0.08579282877263307,494220
cpp,1000,5000,query,/workspace/data/input_n1000_m5000_s42_all_equal_query.txt,build,0.013344266666666667,0.002524842800614742,1999
cpp,1000,5000,query,/workspace/data/input_n1000_m5000_s42_duplicates_query.txt,batch_ops,2.882002,0.10815664785823902,494220
cpp,1000,5000,query,/workspace/data/input_n1000_m5000_s42_duplicates_query.txt,build,0.013477233333333333,0.0018174279605954187,1999
cpp,1000,5000,query,/workspace/data/input_n1000_m5000_s42_nearly_sorted_query.txt,batch_ops,3.0445517666666664,0.05582944304210764,494220
cpp,1000,5000,query,/workspace/data/input_n1000_m5000_s42_nearly_sorted_query.txt,build,0.015382133333333332,0.0021239777051452365,1999
cpp,1000,5000,query,/workspace/data/input_n1000_m5000_s42_random_query.txt,batch_ops,2.6096458,0.12894878892383652,494220
cpp,1000,5000,query,/workspace/data/input_n1000_m5000_s42_random_query.txt,build,0.011790266666666667,0.0016349970564843975,1999
cpp,1000,5000,query,/workspace/data/input_n1000_m5000_s42_sorted_query.txt,batch_ops,2.661470433333333,0.08342802497659532,494220
cpp,1000,5000,query,/workspace/data/input_n1000_m5000_s42_sorted_query.txt,build,0.012667466666666667,0.0024203299680049793,1999
cpp,1000,5000,update,/workspace/data/input_n1000_m5000_s42_all_equal_update.txt,batch_ops,1.2266629666666666,0.03595513179859064,108998
